,tag,text,0
85707,I-PER,",",16783
85711,I-PER,.,14046
47540,B-PER,.,10415
10,B-LOC,",",10244
17,B-LOC,.,8538
47536,B-PER,",",8174
90769,I-PER,ja,6363
8554,B-LOC,ja,5989
54109,B-PER,ja,5711
60760,B-PER,on,5528
85701,I-PER,(,4923
19748,B-LOC,on,4069
95871,I-PER,on,3958
73156,I-ORG,",",3792
73161,I-ORG,.,3537
48012,B-PER,:,2914
34258,B-ORG,",",2824
102482,I-PER,“,2503
34274,B-ORG,.,2489
34255,B-ORG,),2089
76875,I-ORG,ja,2039
37921,B-ORG,ja,2000
47532,B-PER,(,1818
86257,I-PER,:,1738
52076,B-PER,ei,1681
60650,B-PER,oli,1657
85703,I-PER,),1653
73151,I-ORG,(,1607
73153,I-ORG,),1330
69784,B-PER,“,1323
99101,I-PER,sõnul,1212
41983,B-ORG,on,1091
80670,I-ORG,on,1062
85708,I-PER,-,1056
60682,B-PER,oma,1012
65083,B-PER,sõnul,1011
6,B-LOC,),999
5314,B-LOC,ei,975
32764,B-LOC,või,930
47533,B-PER,),926
73157,I-ORG,-,892
11,B-LOC,-,831
89179,I-PER,ei,818
95784,I-PER,oli,778
34259,B-ORG,-,723
54015,B-PER,ise,707
69796,I-LOC,.,705
95486,I-PER,ning,613
34254,B-ORG,(,608
5,B-LOC,(,607
69793,I-LOC,",",582
95807,I-PER,oma,579
47537,B-PER,-,565
12810,B-LOC,kui,536
19552,B-LOC,oli,521
86260,I-PER,?,513
18950,B-LOC,ning,510
85691,I-ORG,“,497
56653,B-PER,kui,495
48016,B-PER,?,433
799,B-LOC,?,425
61965,B-PER,pole,390
70681,I-LOC,ja,386
101760,I-PER,või,385
22596,B-LOC,pärit,370
19650,B-LOC,oma,367
21526,B-LOC,pole,360
102449,I-PER,ütleb,359
47524,B-PER,!,355
34246,B-LOC,“,351
76953,I-ORG,juhatuse,321
63688,B-PER,sai,318
69727,B-PER,ütleb,312
47522,B-ORG,“,304
102483,I-PER,”,303
50500,B-PER,aga,300
54624,B-PER,ka,300
34247,B-LOC,”,295
102456,I-PER,ütles,294
68793,B-PER,või,289
6692,B-LOC,firma,270
41684,B-ORG,ning,268
36757,B-ORG,ei,266
85709,I-PER,--,259
52295,B-PER,enda,257
51198,B-PER,arvates,253
92698,I-PER,kui,249
96784,I-PER,poolt,248
69785,B-PER,”,247
32576,B-LOC,välja,242
13721,B-LOC,kõige,239
60220,B-PER,ning,237
80373,I-ORG,ning,236
30922,B-LOC,vahel,235
38002,B-ORG,juhatuse,233
69735,B-PER,ütles,229
15803,B-LOC,lähedal,229
76943,I-ORG,juhataja,229
85692,I-ORG,”,227
9359,B-LOC,ka,226
75522,I-ORG,direktor,226
27424,B-LOC,tagasi,225
12745,B-LOC,krooni,219
56428,B-PER,koos,216
98041,I-PER,sai,215
75730,I-ORG,ei,214
63489,B-PER,räägib,212
71690,I-LOC,on,212
54236,B-PER,juba,209
15280,B-LOC,linnapea,208
88817,I-PER,c,201
34504,B-ORG,2,200
85115,I-ORG,või,200
88839,I-PER,d,195
80597,I-ORG,oli,193
8809,B-LOC,juba,193
88694,I-PER,b,192
61411,B-PER,peab,191
796,B-LOC,:,190
62067,B-PER,poolt,190
32765,B-LOC,võib,188
41906,B-ORG,oli,187
73563,I-ORG,:,186
68130,B-PER,veel,185
88386,I-PER,arvates,183
96706,I-PER,pole,183
54186,B-PER,jaoks,182
85699,I-PER,',180
22006,B-LOC,president,180
65814,B-PER,tegi,180
41926,B-ORG,oma,178
31703,B-LOC,veel,177
47538,B-PER,--,174
30022,B-LOC,tänava,173
41832,B-ORG,nõukogu,172
60622,B-PER,oleks,170
65698,B-PER,teeb,169
90704,I-PER,ise,168
34854,B-ORG,:,165
24629,B-LOC,saab,165
68073,B-PER,vastu,165
33894,B-LOC,üks,164
22597,B-LOC,päritolu,163
33689,B-LOC,ühe,161
80526,I-ORG,nõukogu,159
28884,B-LOC,toimunud,159
26527,B-LOC,suurim,159
85698,I-PER,&,155
21729,B-LOC,poole,154
42837,B-ORG,poolt,152
85695,I-PER,!,152
