,tag,text,0
48121,B-PER,.,33238
34,B-LOC,.,14326
48108,B-PER,",",13417
60480,B-PER,ja,10414
29672,B-ORG,.,9408
12,B-LOC,",",8068
11019,B-LOC,ja,6053
69241,B-PER,on,5330
29649,B-ORG,",",4859
18949,B-LOC,on,4786
36663,B-ORG,ja,4465
29643,B-ORG,(,4404
80834,B-PER,”,4040
58491,B-PER,et,3784
48109,B-PER,-,3124
9501,B-LOC,et,2964
41613,B-ORG,on,2833
11664,B-LOC,ka,2404
80833,B-PER,“,2207
48103,B-PER,(,2120
48785,B-PER,:,2026
61162,B-PER,ka,1954
80775,B-PER,ütleb,1953
63871,B-PER,kui,1781
29636,B-LOC,“,1709
48788,B-PER,?,1705
29650,B-ORG,-,1680
35675,B-ORG,et,1648
69133,B-PER,oli,1566
37063,B-ORG,ka,1351
14043,B-LOC,kui,1339
68276,B-PER,nagu,1193
73050,B-PER,räägib,1133
6,B-LOC,(,1091
48095,B-ORG,“,1050
51412,B-PER,Kui,1013
13,B-LOC,-,996
18830,B-LOC,oli,941
28410,B-LOC,või,858
48096,B-ORG,”,856
79591,B-PER,või,820
80782,B-PER,ütles,809
58324,B-PER,esimees,801
48104,B-PER,),787
29637,B-LOC,”,787
60669,B-PER,juhataja,785
30135,B-ORG,:,769
71226,B-PER,president,769
48097,B-PER,!,766
818,B-LOC,:,731
41542,B-ORG,oli,717
38660,B-ORG,kui,707
68634,B-PER,ning,698
24213,B-LOC,ta,676
60718,B-PER,juht,613
41075,B-ORG,nagu,575
18083,B-LOC,nagu,566
6883,B-LOC,aastal,554
18554,B-LOC,näiteks,543
57283,B-PER,direktor,509
3042,B-LOC,Kui,501
73309,B-PER,sai,500
18343,B-LOC,ning,499
55550,B-PER,aga,490
68901,B-PER,näiteks,484
63536,B-PER,koos,472
13136,B-LOC,kogu,466
821,B-LOC,?,455
66990,B-PER,meenutab,439
35812,B-ORG,firma,423
41223,B-ORG,ning,419
48110,B-PER,--,408
7,B-LOC,),396
67215,B-PER,mida,393
56359,B-PER,arvab,383
64268,B-PER,kus,372
18277,B-LOC,nii,372
29329,B-LOC,üks,362
50952,B-PER,Ka,361
20295,B-LOC,pole,355
70080,B-PER,peadirektor,351
70868,B-PER,pole,348
73914,B-PER,siis,347
7011,B-LOC,aga,343
24301,B-LOC,tagasi,340
62448,B-PER,kinnitab,328
30626,B-ORG,Eesti,326
30138,B-ORG,?,326
29645,B-ORG,),324
31601,B-ORG,Kui,321
44757,B-ORG,ta,316
70183,B-PER,peaminister,314
55424,B-PER,abikaasa,310
18878,B-LOC,oma,309
65635,B-PER,liige,309
73679,B-PER,selgitab,304
41369,B-ORG,näiteks,302
71319,B-PER,professor,300
29373,B-LOC,üle,293
73815,B-PER,sest,290
48123,B-PER,...,285
22954,B-LOC,siis,280
68514,B-PER,nendib,275
68552,B-PER,nii,272
63874,B-PER,kuidas,265
2561,B-LOC,Ka,264
51413,B-PER,Kuid,258
17213,B-LOC,mis,258
50574,B-PER,Ja,257
7067,B-LOC,ainult,257
7885,B-LOC,asub,255
22398,B-LOC,sai,254
75914,B-PER,tegi,253
75253,B-PER,ta,253
48067,B-ORG,ütleb,252
65768,B-PER,linnapea,252
54546,B-PER,The,247
64161,B-PER,kunstnik,247
20983,B-LOC,pärast,244
16131,B-LOC,läbi,241
63872,B-PER,kuid,239
68574,B-PER,nimega,238
29651,B-ORG,--,238
22868,B-LOC,sest,238
71708,B-PER,pärast,235
48957,B-PER,Aga,234
14,B-LOC,--,233
69134,B-PER,olid,232
70265,B-PER,peatoimetaja,229
2669,B-LOC,Kas,228
80115,B-PER,ärimees,226
12158,B-LOC,kas,226
18786,B-LOC,ole,225
33928,B-ORG,aastal,225
67338,B-PER,mis,225
51053,B-PER,Kas,222
73663,B-PER,seletab,222
71235,B-PER,pressiesindaja,222
12557,B-LOC,kes,221
61747,B-PER,kas,217
73157,B-PER,saab,216
17089,B-LOC,mida,214
60370,B-PER,isa,213
47279,B-ORG,või,213
73220,B-PER,saanud,211
17912,B-LOC,mööda,208
14714,B-LOC,kõik,207
69093,B-PER,ole,206
73066,B-PER,rääkis,205
59777,B-PER,härra,204
60698,B-PER,juhi,202
34005,B-ORG,aga,202
34050,B-ORG,ajakirja,201
10937,B-LOC,isegi,200
58327,B-PER,esimehe,200
69146,B-PER,olnud,199
4276,B-LOC,Näiteks,199
8720,B-LOC,eest,199
73514,B-PER,see,198
29208,B-LOC,ühe,198
22601,B-LOC,see,198
69097,B-PER,oleks,194
56193,B-PER,arhitekt,193
48100,B-PER,&,193
43706,B-ORG,sai,192
57714,B-PER,ehk,191
48070,B-ORG,ütles,191
76941,B-PER,tuli,190
62555,B-PER,kirjanik,189
62190,B-PER,kes,189
60844,B-PER,just,188
71449,B-PER,proua,188
42851,B-ORG,pärast,187
69210,B-PER,omanik,187
70077,B-PER,peab,186
70807,B-PER,poeg,185
62620,B-PER,kirjutab,184
22216,B-LOC,saab,183
20488,B-LOC,praegu,182
27114,B-LOC,vaid,180
75884,B-PER,tegevdirektor,180
7106,B-LOC,ajal,178
64850,B-PER,küsib,178
58802,B-PER,firma,177
55350,B-PER,a.,177
14044,B-LOC,kuid,177
13763,B-LOC,koos,176
78159,B-PER,vaid,175
18831,B-LOC,olid,175
77038,B-PER,tunnistab,174
18840,B-LOC,olnud,173
57423,B-PER,dr,172
48701,B-PER,8,172
41171,B-ORG,nii,171
18792,B-LOC,oleks,170
62633,B-PER,kirjutas,169
0,B-LOC,!,166
11306,B-LOC,just,166
19052,B-LOC,osa,162
55638,B-PER,ajakirjanik,162
25783,B-LOC,tuleb,162
76506,B-PER,toimetaja,159
79274,B-PER,von,158
6902,B-LOC,aastat,158
11182,B-LOC,juba,157
65809,B-PER,lisab,157
10309,B-LOC,hoopis,157
65304,B-PER,lavastaja,156
42454,B-ORG,pole,156
67866,B-PER,märgib,156
58354,B-PER,esindaja,155
6863,B-LOC,aasta,155
75782,B-PER,teeb,155
56530,B-PER,asetäitja,154
57378,B-PER,doktor,154
78764,B-PER,veel,154
58025,B-PER,ema,153
27638,B-LOC,veel,153
55125,B-PER,Vesta,152
28411,B-LOC,võib,151
8922,B-LOC,elab,149
17266,B-LOC,mitte,149
25847,B-LOC,tuli,149
55607,B-PER,ainult,148
56759,B-PER,autor,147
